Genus,Species,Common name,1963s,1963e,1964s,1964e,1966s,1966e,1967s ,1967e,1968s,1968e,1969s,1969e,1970s,1970e ,1971s,1971e,1972s,1972e,1973s,1973e,1974s,1974e,1975s,1975e,1976s,1976e,1977s,1977e,1979s,1979e,1980s,1980e,1981s,1981e,1982s,1982e,1983s,1983e,1984s,1984e,1985s,1985e,1986s,1986e,1987s,1987e,1988s,1988e,1989s,1989e,1990s,1990e,1991s,1991e,1992s,1992e,1993s,1993e
Sanguinaria,canadensis,Bloodroot,15-Apr,20-Apr,15-Apr,5-May,17-Apr,6-May,29-Apr,NA,12-Apr,6-May,16-Apr,6-May,15-Apr,11-May,NA,NA,NA,NA,16-Apr,NA,17-Apr,5-May,NA,10-May,NA,NA,12-Apr,22-Apr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-Apr,10-May,28-Apr,6-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houstonia,caerulea,Bluet,24-Apr,NA,26-Apr,4-Jun,24-Apr,NA,3-May,10-Jul,14-Apr,12-Jul,24-Apr,24-Jun,26-Apr,28-Jun,NA,NA,NA,NA,17-Apr,NA,NA,NA,NA,NA,12-May,15-Jun,1-May,15-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-May,27-Jun,26-Apr,19-Jun,NA,24-Jun,28-Apr,18-Jun,1-May,28-May,16-May,23-Jun,10-May,26-Jun,12-May,15-Jun,17-May,29-Jun,NA,NA
Anemonella,thalictroides,Rue Anemone,26-Apr,30-May,28-Apr,4-Jun,24-Apr,7-Jun,13-May,19-Jun,9-Apr,10-Jun,20-Apr,10-Jun,23-Apr,1-Jun,NA,NA,NA,NA,6-Jun,NA,1-May,30-May,NA,NA,26-Apr,20-May,19-Apr,15-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemone  ,quinquefolia,Wood Anemone,26-Apr,26-May,1-May,23-May,30-Apr,26-May,3-May,30-May,18-Apr,30-May,25-Apr,22-May,4-May,16-May,NA,NA,NA,NA,NA,NA,1-May,17-May,NA,NA,20-Apr,12-May,27-Apr,15-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viola,papilionacea,Common Blue Violet,NA,NA,NA,NA,NA,NA,1-May,12-Jun,14-Apr,2-Jun,25-Apr,5-Jun,24-Apr,28-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fragaria,virginiana,Wild Strawberry,3-May,3-Jun,3-May,29-May,5-May,28-May,14-May,8-Jun,24-Apr,30-May,3-May,4-Jun,6-May,30-May,NA,NA,NA,NA,NA,NA,5-May,21-May,12-May,30-May,21-Apr,28-May,26-Apr,15-May,NA,NA,NA,NA,NA,NA,30-Apr,26-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8-May,29-May,4-May,5-Jun,26-Apr,21-May,30-Apr,24-May,4-May,30-May
Arisaema,triphyllum,Small Jack-in-the-pulpit,5-May,15-Jun,9-May,NA,NA,NA,20-May,22-Jun,7-May,18-Jun,3-May,20-Jun,11-May,17-Jun,NA,NA,22-May,NA,13-May,10-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-May,12-Jun,18-May,12-Jun,4-May,10-Jun,18-May,15-Jun,NA,NA
Viola,pedata,Birdfoot Violet,5-May,6-Jun,4-May,6-Jun,7-May,12-Jun,17-May,23-Jun,29-Apr,15-Jun,4-May,20-Jun,6-May,8-Jun,NA,NA,NA,NA,NA,NA,7-May,13-Jun,NA,5-Jun,28-Apr,29-May,1-May,15-May,NA,NA,NA,NA,NA,NA,NA,5-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caltha,palustris,Marsh Marigold,8-May,3-Jun,27-Apr,30-May,27-Apr,31-May,11-May,13-Jun,22-Apr,28-May,21-Apr,21-May,26-Apr,25-May,NA,NA,NA,4-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5-May,21-May,28-Apr,17-May,2-May,17-May,27-Apr,26-May,1-May,19-May,3-May,25-May,22-Apr,20-May,26-Apr,18-May,4-May,31-May,5-May,22-May
Rhododendron,canadense,Rhodora,9-May,17-May,8-May,17-May,10-May,20-May,17-May,8-Jun,1-May,15-May,2-May,15-May,6-May,31-May,NA,NA,16-May,31-May,NA,25-May,4-May,17-May,14-May,28-May,14-Apr,14-May,26-Apr,14-May,NA,NA,10-May,NA,1-May,14-May,NA,NA,NA,NA,18-May,3-Jun,3-May,15-May,NA,19-May,NA,18-May,NA,4-Jun,14-May,25-May,13-May,25-May,26-Apr,14-May,16-May,30-May,9-May,19-May
